time,open,high,low,close
2021-10-04T09:20:00,24478.68,24478.68,24329.13,24350.14
2021-10-04T09:35:00,24350.16,24363.62,24088.78,24136.94
2021-10-04T09:50:00,24124.38,24149.79,23993.54,24026.37
2021-10-04T10:05:00,24021.42,24126.33,23908.05,24126.33
2021-10-04T10:20:00,24125.42,24127.65,23929.94,23989.06
2021-10-04T10:35:00,23982.84,24099.97,23975.78,24099.97
2021-10-04T10:50:00,24100.17,24164.96,24078.16,24088.65
2021-10-04T11:05:00,24085.44,24119.1,24013.99,24055.18
2021-10-04T11:20:00,24054.24,24069.32,24020.82,24029.95
2021-10-04T11:35:00,24031.03,24041.01,23999.27,24031.64
2021-10-04T11:50:00,24028.23,24051.59,24021.28,24022.65
2021-10-04T12:50:00,24045.53,24118.49,24038.23,24082.38
2021-10-04T13:05:00,24083.01,24119.12,24060.08,24101.23
2021-10-04T13:20:00,24098.27,24109.48,24080.93,24081.84
2021-10-04T13:35:00,24080.76,24086.06,24006.62,24014.29
2021-10-04T13:50:00,24014.96,24067.9,24011.86,24023.58
2021-10-04T14:05:00,24025.65,24026.71,23933.93,23939.75
2021-10-04T14:20:00,23942.36,24037.9,23924.68,24009.36
2021-10-04T14:35:00,24008.91,24028.24,24001.84,24011.66
2021-10-04T14:50:00,24010.01,24058.06,24010.01,24023.69
2021-10-04T15:05:00,24026.42,24037.18,24012.64,24016.72
2021-10-04T15:20:00,24017.67,24033.5,23952.15,23956.84
2021-10-04T15:35:00,23957.17,24017.23,23953.14,24010.76
2021-10-04T15:50:00,24013.3,24046.67,24004.4,24023.06
2021-10-04T16:05:00,24036.38,24036.38,24036.38,24036.38
2021-10-05T09:20:00,23771.65,23771.65,23681.44,23757.35
2021-10-05T09:35:00,23772.18,23914.52,23757.99,23912.22
2021-10-05T09:50:00,23918.33,23957.05,23821.28,23902
2021-10-05T10:05:00,23901.45,23976.61,23894.68,23946.83
2021-10-05T10:20:00,23941.7,24013.03,23885.26,23974.51
2021-10-05T10:35:00,23966.76,24071.33,23965.82,24060.33
2021-10-05T10:50:00,24059.71,24100.03,24007.99,24068.31
2021-10-05T11:05:00,24068.66,24127.84,24063.97,24083.63
2021-10-05T11:20:00,24080.47,24092.08,24024.93,24027.53
2021-10-05T11:35:00,24024.97,24112.11,24024.97,24112.11
2021-10-05T11:50:00,24113.65,24116.61,24092.1,24112.65
2021-10-05T12:50:00,24103,24103,24074.63,24077.31
2021-10-05T13:05:00,24078.17,24079.34,24035.99,24039.38
2021-10-05T13:20:00,24039.03,24095.44,24026.57,24026.57
2021-10-05T13:35:00,24027.82,24053.41,23999.17,24036.8
2021-10-05T13:50:00,24033.52,24056.68,24018.91,24052.01
2021-10-05T14:05:00,24052.81,24053.95,24006.29,24019.61
2021-10-05T14:20:00,24020.92,24061.25,24013.46,24049.37
2021-10-05T14:35:00,24047.89,24103.66,24042.93,24082.16
2021-10-05T14:50:00,24084.34,24161.33,24080.48,24154.08
2021-10-05T15:05:00,24154.9,24180.08,24140.39,24157.34
2021-10-05T15:20:00,24155.71,24157.65,24124.51,24125.94
2021-10-05T15:35:00,24123.26,24142.83,24105.64,24140.88
2021-10-05T15:50:00,24140.24,24150.4,24124.76,24125.66
2021-10-05T16:05:00,24104.16,24104.16,24104.16,24104.16
2021-10-06T09:20:00,24259.2,24259.2,24097.51,24111.05
2021-10-06T09:35:00,24096.81,24111.18,23870.54,23921.68
2021-10-06T09:50:00,23918.57,23921.11,23819.45,23869.7
2021-10-06T10:05:00,23868.47,23886.14,23812.35,23849.34
2021-10-06T10:20:00,23851.01,23959.21,23843.43,23853.88
